cycle,walking,bike,car,bus,average_speed,walk_distance,bike_distance,car_distance,bus_distance, bus_people_distance
0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
100,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
200,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
300,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
400,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
500,11,13,47,0,2.934,2.7499999999999982,4.666666666666667,27.666666666666636,0.0,0.0
600,41,16,90,0,6.646,8.74999999999999,7.49999999999999,52.666666666666764,0.0,0.0
